scope,category,base_api,description,forms,source
header,1e,int1e_ipiprinvrip,<NABLA NABLA i|RINV |R NABLA j>,optimizer;cart;sph;spinor,include/cint_funcs.h:1154
header,1e,int1e_ipipspnucsp,<NABLA NABLA SIGMA DOT P i|NUC SIGMA DOT P |j>,optimizer;cart;sph;spinor,include/cint_funcs.h:920
header,1e,int1e_ipipsprinvsp,<NABLA NABLA SIGMA DOT P i|RINV SIGMA DOT P |j>,optimizer;cart;sph;spinor,include/cint_funcs.h:932
header,1e,int1e_ipkin,<NABLA i|OVLP |P DOT P j>,optimizer;cart;sph;spinor,include/cint_funcs.h:632
header,1e,int1e_ipkinip,<NABLA i|P DOT P |NABLA j>,optimizer;cart;sph;spinor,include/cint_funcs.h:836
header,1e,int1e_ipnuc,<NABLA i|NUC |j>,optimizer;cart;sph;spinor,include/cint_funcs.h:644
header,1e,int1e_ipnucip,<NABLA i|NUC |NABLA j>,optimizer;cart;sph;spinor,include/cint_funcs.h:848
header,1e,int1e_ipovlp,<NABLA i|OVLP |j>,optimizer;cart;sph;spinor,include/cint_funcs.h:620
header,1e,int1e_ipovlpip,<NABLA i|OVLP |NABLA j>,optimizer;cart;sph;spinor,include/cint_funcs.h:824
header,1e,int1e_ippnucp,<P* NABLA i|NUC DOT P |j>,optimizer;cart;sph;spinor,include/cint_funcs.h:668
header,1e,int1e_ippnucpip,<P* NABLA i|NUC DOT P |NABLA j>,optimizer;cart;sph;spinor,include/cint_funcs.h:902
header,1e,int1e_ipprinvp,<P* NABLA i|RINV DOT P |j>,optimizer;cart;sph;spinor,include/cint_funcs.h:674
header,1e,int1e_ipprinvpip,<P* NABLA i|RINV DOT P |NABLA j>,optimizer;cart;sph;spinor,include/cint_funcs.h:914
header,1e,int1e_iprinv,<NABLA i|RINV |j>,optimizer;cart;sph;spinor,include/cint_funcs.h:650
header,1e,int1e_iprinvip,<NABLA i|RINV |NABLA j>,optimizer;cart;sph;spinor,include/cint_funcs.h:860
header,1e,int1e_iprinviprip,<NABLA i|RINV |NABLA R NABLA j>,optimizer;cart;sph;spinor,include/cint_funcs.h:1142
header,1e,int1e_iprinvr,<NABLA i|RINV |R j>,optimizer;cart;sph;spinor,include/cint_funcs.h:1136
header,1e,int1e_iprip,<NABLA i|RC |NABLA j>,optimizer;cart;sph;spinor,include/cint_funcs.h:872
header,1e,int1e_ipspnucsp,<NABLA SIGMA DOT P i|NUC |SIGMA DOT P j>,optimizer;cart;sph;spinor,include/cint_funcs.h:656
header,1e,int1e_ipspnucspip,<NABLA SIGMA DOT P i|NUC SIGMA DOT P |NABLA j>,optimizer;cart;sph;spinor,include/cint_funcs.h:926
header,1e,int1e_ipsprinvsp,<NABLA SIGMA DOT P i|RINV |SIGMA DOT P j>,optimizer;cart;sph;spinor,include/cint_funcs.h:662
header,1e,int1e_ipsprinvspip,<NABLA SIGMA DOT P i|RINV SIGMA DOT P |NABLA j>,optimizer;cart;sph;spinor,include/cint_funcs.h:938
header,1e,int1e_irp,<i|RC NABLA |j>,optimizer;cart;sph;spinor,include/cint_funcs.h:212
header,1e,int1e_irpr,<i|RC NABLA RC |j>,optimizer;cart;sph;spinor,include/cint_funcs.h:224
header,1e,int1e_irrp,<i|RC RC NABLA |j>,optimizer;cart;sph;spinor,include/cint_funcs.h:218
header,1e,int1e_kin,<i|OVLP |P DOT P j>,optimizer;cart;sph;spinor,include/cint_funcs.h:38
header,1e,int1e_kinip,<i|OVLP |P DOT P NABLA j>,optimizer;cart;sph;spinor,include/cint_funcs.h:638
header,1e,int1e_nuc,<i|NUC |j>,optimizer;cart;sph;spinor,include/cint_funcs.h:32
header,1e,int1e_ovlp,<i|OVLP |j>,optimizer;cart;sph;spinor,include/cint_funcs.h:26
header,1e,int1e_ovlpip,<i|OVLP |NABLA j>,optimizer;cart;sph;spinor,include/cint_funcs.h:626
header,1e,int1e_p4,<P DOT P i|OVLP |P DOT P j>,optimizer;cart;sph;spinor,include/cint_funcs.h:188
header,1e,int1e_pnucp,<P* i|NUC DOT P |j>,optimizer;cart;sph;spinor,include/cint_funcs.h:98
header,1e,int1e_pnucxp,<P* i|NUC CROSS P |j>,optimizer;cart;sph;spinor,include/cint_funcs.h:206
header,1e,int1e_prinvp,<P* i|RINV DOT P |j>,optimizer;cart;sph;spinor,include/cint_funcs.h:194
header,1e,int1e_prinvxp,<P* i|RINV CROSS P |j>,optimizer;cart;sph;spinor,include/cint_funcs.h:200
header,1e,int1e_r,<i|RC |j>,optimizer;cart;sph;spinor,include/cint_funcs.h:116
header,1e,int1e_r2,<i|RC DOT RC |j>,optimizer;cart;sph;spinor,include/cint_funcs.h:122
header,1e,int1e_r2_origj,<i|R DOT R |j>,optimizer;cart;sph;spinor,include/cint_funcs.h:176
header,1e,int1e_r4,<i|RC DOT RC RC DOT RC |j>,optimizer;cart;sph;spinor,include/cint_funcs.h:128
header,1e,int1e_r4_origj,<i|OVLP |R DOT R R DOT R j>,optimizer;cart;sph;spinor,include/cint_funcs.h:182
header,1e,int1e_r_origj,<i|R |j>,optimizer;cart;sph;spinor,include/cint_funcs.h:164
header,1e,int1e_rinv,<i|RINV |j>,optimizer;cart;sph;spinor,include/cint_funcs.h:254
header,1e,int1e_rinvipiprip,<i|RINV |NABLA NABLA R NABLA j>,optimizer;cart;sph;spinor,include/cint_funcs.h:1148
header,1e,int1e_rr,<i|RC RC |j>,optimizer;cart;sph;spinor,include/cint_funcs.h:134
